ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
55510;"Birštono IKI Dariaus ir Girėno paštomatas";0;LT;"Kauno apskr.";"Birštono sav.";"Birštono m.";;"S. Dariaus ir S. Girėno g.";;24;;24.028976;54.605420;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2024-04-03T06:03:23.437+03:00
55571;"Biržų MAXIMA Vabalninko g. paštomatas";0;LT;"Panevėžio apskr.";"Biržų r. sav.";"Biržų m.";;"Vabalninko g.";;8A;;24.737010;56.201059;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2023-12-29T09:14:48.503+02:00
88866;"Biržų NORFA paštomatas";0;LT;"Panevėžio apskr.";"Biržų r. sav.";"Biržų m.";;"Respublikos g.";;2;;24.769034;56.193955;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje parduotuvės įėjimo pusėje";2022-11-22T17:13:47.660+02:00
99512;"Biržų ŠIRVĖNA paštomatas";0;LT;"Panevėžio apskr.";"Biržų r. sav.";"Biržų m.";;"Vytauto g.";;27;;24.757084;56.201136;;;;;;;;;;;2023-12-07T04:00:07.537+02:00
9997;"Brocēnu Citro pakomāts";0;LV;"Saldus novads";Brocēni;;;"Lielcieceres iela";;2A;;22.565424;56.684275;;;;;;;;;"Pa labi no galvenās ieejas";;2024-06-27T09:23:16.887+03:00
9594;"Bēnes TOP pakomāts";0;LV;"Dobeles novads";"Bēnes pagasts";Bēne;;"Stacijas iela";;10;;23.067628;56.482436;;;;;;;;;;;2024-02-09T06:03:31.417+02:00
9988;"Carnikavas Mego pakomāts";0;LV;"Ādažu novads";"Carnikavas pagasts";Carnikava;;"Rīgas iela";;14;;24.276072;57.128330;;;;;;;;;;;2024-07-09T10:02:38.853+03:00
9296;"Cesvaines TOP pakomāts";0;LV;"Madonas novads";Cesvaine;;;"Rīgas iela";;2;;26.306202;56.968729;;;;;;;;;;;2024-06-25T14:34:50.237+03:00
9137;"Cēsu Gaujas ielas Maxima X pakomāts";0;LV;"Cēsu novads";Cēsis;;;"Gaujas iela";;1/3;;25.267205;57.309659;;;;;;;;;"Blakus T/C centrālajai ieejai";;2023-09-29T11:54:17.227+03:00
9259;"Cēsu Gaujas ielas TOP pakomāts";0;LV;"Cēsu novads";Cēsis;;;"Gaujas iela";;29;;25.253170;57.306978;;;;;;;;;;;2024-06-25T10:06:25.537+03:00
